Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
185,2050,10,4,0.75,0,0,0,0
186,2050,6,2,1,0,0,0,0
189,2050,6,2,1,0,0,0,0
193,2050,10,4,0.75,0,0,0,0
194,2050,6,2,1,0,0,0,0
196,2050,6,2,1,0,0,0,0
200,2050,4,1.75,0,0.28,0.575,0,10
204,2050,6,2,1,0,0,0,0
205,2050,6,2,1,0,0,0,0
206,2050,10,4,0.75,0,0,0,0
207,2050,10,4,0.75,0,0,0,0
211,2050,4,1.75,0,0,0,0,0
212,2050,4,1.75,0,0.06,0.4,0,3.2
213,2050,4,1.75,0,0.06,0.4,0,3.2
214,2050,4,1.75,0,0.06,0.4,0,3.2
220,2050,4,1.75,0,0,0,0,0
221,2050,4,1.75,0,0,0,0,0
222,2050,4,1.75,0,0,0,0,0
223,2050,4,1.75,0,0,0,0,0
224,2050,4,1.75,0,0,0,0,0
225,2050,4,1.75,0,0.28,0.575,0,10
226,2050,4,1.75,0,0,0,0,0
227,2050,4,0.5,0,0,0,0,0
229,2050,2,1.75,0,0,0,0,0
230,2050,2,1.75,0,0,0,0,0
231,2050,2,1.75,0,0,0,0,0
232,2050,2,0.5,0,0,0,0,0
233,2050,2,1.75,0,0,0,0,0
234,2050,2,1.75,0,0.28,0.575,0,10
235,2050,2,1.75,0,0,0,0,0
236,2050,4,1.75,0,0,0,0,0
237,2050,4,1.75,0,0.28,0.575,0,10
238,2050,4,0.5,0,0.28,0.575,0,10
