dose,RR,lb,ub
46.38498498,0.602438686,0.52451829,0.691934633
46.46294294,0.602299207,0.524351909,0.691833727
46.5409009,0.602159761,0.524185556,0.691732866
46.61885886,0.602020346,0.524019233,0.691632052
46.69681682,0.601880964,0.523852938,0.691531284
46.77477477,0.601741614,0.523686673,0.691430562
46.85273273,0.601602297,0.523520436,0.691329886
46.93069069,0.601463012,0.523354229,0.691229256
47.00864865,0.601323759,0.523188051,0.691128671
47.08660661,0.601184538,0.523021903,0.691028133
47.16456456,0.601045349,0.522855783,0.690927639
47.24252252,0.600906193,0.522689693,0.690827192
47.32048048,0.600767069,0.522523632,0.69072679
47.39843844,0.600627977,0.522357601,0.690626433
47.4763964,0.600488917,0.5221916,0.690526122
47.55435435,0.60034989,0.522025627,0.690425855
47.63231231,0.600210895,0.521859685,0.690325634
47.71027027,0.600071932,0.521693772,0.690225459
47.78822823,0.599933001,0.521527889,0.690125328
47.86618619,0.599794102,0.521362035,0.690025242
47.94414414,0.599655235,0.521196212,0.689925201
48.0221021,0.599516401,0.521030418,0.689825205
48.10006006,0.599377598,0.520864654,0.689725253
48.17801802,0.599238828,0.52069892,0.689625347
48.25597598,0.59910009,0.520533216,0.689525485
48.33393393,0.598961384,0.520367542,0.689425667
48.41189189,0.59882271,0.520201898,0.689325894
48.48984985,0.598684069,0.520036284,0.689226165
48.56780781,0.598545459,0.519870701,0.689126481
48.64576577,0.598406882,0.519705147,0.689026841
48.72372372,0.598268336,0.519539624,0.688927245
48.80168168,0.598129823,0.519374131,0.688827693
48.87963964,0.597991341,0.519208669,0.688728186
48.9575976,0.597852892,0.519043237,0.688628722
49.03555556,0.597714475,0.518877835,0.688529302
49.11351351,0.59757609,0.518712464,0.688429926
49.19147147,0.597437737,0.518547123,0.688330594
49.26942943,0.597299416,0.518381813,0.688231305
49.34738739,0.597161127,0.518216534,0.68813206
49.42534535,0.59702287,0.518051285,0.688032859
49.5033033,0.596884645,0.517886067,0.687933701
49.58126126,0.596746452,0.51772088,0.687834587
49.65921922,0.596608291,0.517555723,0.687735516
49.73717718,0.596470162,0.517390598,0.687636488
49.81513514,0.596332065,0.517225503,0.687537504
49.89309309,0.596194,0.517060439,0.687438562
49.97105105,0.596055966,0.516895407,0.687339664
50.04900901,0.595917965,0.516730405,0.687240809
50.12696697,0.595779996,0.516565434,0.687141996
50.20492492,0.595642059,0.516400495,0.687043227
50.28288288,0.595504153,0.516235586,0.6869445
50.36084084,0.59536628,0.516070709,0.686845817
50.4387988,0.595228439,0.515905863,0.686747175
50.51675676,0.595090629,0.515741048,0.686648577
50.59471471,0.594952851,0.515576265,0.686550021
50.67267267,0.594815106,0.515411513,0.686451507
50.75063063,0.594677392,0.515246792,0.686353036
50.82858859,0.59453971,0.515082103,0.686254607
50.90654655,0.59440206,0.514917446,0.686156221
50.9845045,0.594264442,0.51475282,0.686057877
51.06246246,0.594126855,0.514588225,0.685959575
51.14042042,0.593989301,0.514423662,0.685861315
51.21837838,0.593851778,0.514259131,0.685763097
51.29633634,0.593714287,0.514094632,0.685664921
51.37429429,0.593576828,0.513930164,0.685566786
51.45225225,0.593439401,0.513765728,0.685468694
51.53021021,0.593302006,0.513601324,0.685370643
51.60816817,0.593164642,0.513436952,0.685272635
51.68612613,0.59302731,0.513272611,0.685174667
51.76408408,0.59289001,0.513108303,0.685076742
51.84204204,0.592752742,0.512944027,0.684978857
51.92,0.592615506,0.512779783,0.684881015
51.99795796,0.592478301,0.51261557,0.684783213
52.07591592,0.592341128,0.51245139,0.684685453
52.15387387,0.592203987,0.512287242,0.684587734
52.23183183,0.592066878,0.512123127,0.684490057
52.30978979,0.5919298,0.511959043,0.68439242
52.38774775,0.591792755,0.511794992,0.684294825
52.46570571,0.59165574,0.511630973,0.68419727
52.54366366,0.591518758,0.511466987,0.684099757
52.62162162,0.591381807,0.511303033,0.684002284
52.69957958,0.591244888,0.511139111,0.683904852
52.77753754,0.591108001,0.510975222,0.683807461
52.8554955,0.590971146,0.510811365,0.683710111
52.93345345,0.590834322,0.510647541,0.683612801
53.01141141,0.590697529,0.51048375,0.683515531
53.08936937,0.590560769,0.510319991,0.683418303
53.16732733,0.59042404,0.510156265,0.683321114
53.24528529,0.590287343,0.509992571,0.683223966
53.32324324,0.590150677,0.50982891,0.683126858
53.4012012,0.590014043,0.509665283,0.683029791
53.47915916,0.589877441,0.509501688,0.682932763
53.55711712,0.58974087,0.509338125,0.682835776
53.63507508,0.589604331,0.509174596,0.682738829
53.71303303,0.589467824,0.5090111,0.682641922
53.79099099,0.589331348,0.508847636,0.682545055
53.86894895,0.589194904,0.508684206,0.682448227
53.94690691,0.589058491,0.508520809,0.68235144
54.02486486,0.58892211,0.508357445,0.682254692
54.10282282,0.588785761,0.508194113,0.682157984
54.18078078,0.588649443,0.508030816,0.682061315
54.25873874,0.588513156,0.507867551,0.681964687
54.3366967,0.588376901,0.507704319,0.681868097
54.41465465,0.588240678,0.507541121,0.681771547
54.49261261,0.588104487,0.507377956,0.681675037
54.57057057,0.587968326,0.507214825,0.681578565
